Science,Basic 7,Acids and Bases,The reaction between an acid and a base is called:,multiple_choice,a,Neutralization produces salt and water.,medium,10,45,Neutralization,Oxidation,Reduction,Dissolution,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,The pH scale ranges from:,multiple_choice,d,The pH scale typically ranges from 0 to 14.,easy,10,30,0 to 7,7 to 14,1 to 10,0 to 14,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,Which of the following is a common household base?,multiple_choice,a,Baking soda (sodium bicarbonate) is a mild base.,easy,10,30,Baking soda,Lemon juice,Orange juice,Vinegar,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,"When an acid reacts with a metal, it often produces:",multiple_choice,b,Acids react with active metals to produce hydrogen gas.,medium,10,60,Oxygen gas,Hydrogen gas,Carbon dioxide gas,Water,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,Which indicator turns blue in the presence of a base?,multiple_choice,c,Blue litmus indicates a base.,easy,10,30,Red litmus paper,Methyl orange,Litmus paper (blue for base),Phenolphthalein,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,A substance that changes color in the presence of an acid or a base is called a(n):,multiple_choice,d,Indicators are used to determine the pH of a solution.,easy,10,30,Catalyst,Reagent,Solvent,Indicator,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,Why should you never taste or touch unknown chemicals?,multiple_choice,a,Many acids and bases are corrosive and harmful.,easy,10,30,They can be corrosive and harmful,They might be sweet,They might be salty,They might be cold,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,"If a substance has a pH of 3, it is a(n):",multiple_choice,b,pH values below 7 indicate acidity.,easy,10,30,Strong base,Weak acid,Neutral,Strong acid,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,What are the products of a neutralization reaction?,multiple_choice,a,Acid + Base --> Salt + Water,medium,10,45,Salt and water,Acid and base,Carbon dioxide and water,Oxygen and salt,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,A substance with a pH of 8 is considered a:,multiple_choice,b,pH values above 7 indicate a base.,easy,10,30,Acid,Base,Neutral,Salt,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,Lemon juice has a sour taste and a pH less than 7. It is therefore a(n):,multiple_choice,a,Sour taste and pH < 7 are characteristics of acids.,easy,10,30,Acid,Base,Neutral,Salt,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,Which pH range indicates an acidic solution?,multiple_choice,a,pH values from 0 up to but not including 7 are acidic.,easy,10,30,0 to <7,7,>7 to 14,All pH values,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,A substance with a pH of 7 is:,multiple_choice,b,Pure water has a neutral pH of 7.,easy,10,30,Acidic,Neutral,Basic,Alkaline,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,A substance with a pH of 1 is considered a:,multiple_choice,d,A pH of 1 indicates a very strong acid.,easy,10,30,Weak acid,Neutral,Weak base,Strong acid,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,What kind of taste do bases typically have?,multiple_choice,b,"Bases often have a bitter taste (e.g., tonic water).",easy,10,30,Sour,Bitter,Sweet,Salty,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,Which of these is a characteristic of bases?,multiple_choice,b,Bases feel slippery and turn red litmus blue.,easy,10,30,Sour taste,Slippery feel,Reacts with metals to produce hydrogen,Turns blue litmus red,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,The neutralization reaction between hydrochloric acid (HCl) and sodium hydroxide (NaOH) produces:,multiple_choice,c,HCl + NaOH --> NaCl (salt) + H2O (water),medium,10,45,Oxygen and sodium chloride,Hydrogen and water,Sodium chloride and water,Carbon dioxide and water,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,What type of indicator would be used to show if a solution is an acid or a base?,multiple_choice,a,Litmus paper changes color based on pH.,easy,10,30,Litmus paper,Thermometer,Ruler,Balance,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,A substance with a pH of 13 is considered:,multiple_choice,d,This indicates a very strong base.,easy,10,30,Weak acid,Weak base,Neutral,Strong base,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,Bleach is an example of a strong:,multiple_choice,b,"Bleach contains sodium hypochlorite, a strong base.",easy,10,30,Acid,Base,Neutral substance,Salt,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,Why is it dangerous to mix unknown cleaning chemicals?,multiple_choice,c,Mixing chemicals can create dangerous gases or explosions.,medium,10,45,They might change color,They will all become neutral,They might react to form harmful substances,They will all become weaker,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,What type of ion is characteristic of an acid when dissolved in water?,multiple_choice,a,Acids produce hydrogen ions ($H^+$) or hydronium ions ($H_3O^+$) in solution.,medium,10,45,$H^+$ ions,$OH^-$ ions,$Na^+$ ions,$Cl^-$ ions,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,A substance with a pH of 7 is described as:,multiple_choice,b,Neutral substances have a pH of 7.,easy,10,30,Acidic,Neutral,Basic,Alkaline,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,Which of the following is a strong acid?,multiple_choice,c,Hydrochloric acid (HCl) is a common strong acid.,medium,10,45,Vinegar,Lemon juice,Hydrochloric acid,Baking soda solution,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,What common substance is produced when an acid and a base neutralize each other?,multiple_choice,d,Neutralization reactions always yield salt and water.,easy,10,30,Carbon dioxide,Oxygen,Hydrogen,Water,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,"If phenolphthalein indicator is added to a solution and it turns pink, the solution is likely a:",multiple_choice,b,Phenolphthalein is colorless in acidic and neutral solutions but turns pink in basic solutions.,medium,10,60,Strong acid,Base,Neutral substance,Weak acid,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,What is the primary danger of strong acids and strong bases?,multiple_choice,c,Both strong acids and bases are highly corrosive and can cause severe burns.,easy,10,30,They are flammable,They taste bad,They are corrosive,They are slippery,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,Which of the following is an example of a base used in household cleaning?,multiple_choice,a,Ammonia is a common basic cleaning agent.,easy,10,30,Ammonia,Vinegar,Orange juice,Soft drink,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,The strength of an acid or base is determined by its:,multiple_choice,c,Strength refers to the extent of dissociation into ions in solution.,medium,10,45,Color,Taste,Degree of ionization,Boiling point,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,Antacids are used to relieve indigestion by neutralizing excess stomach acid. Antacids are therefore:,multiple_choice,b,Antacids are basic substances that counteract the acidity of stomach acid.,medium,10,45,Acids,Bases,Neutral substances,Salts,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,Which pH value represents the most acidic solution?,multiple_choice,a,A pH closer to 0 indicates stronger acidity.,easy,10,30,1,6,7,8,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,A substance that has a bitter taste and feels slippery is most likely a(n):,multiple_choice,b,These are characteristic properties of bases.,easy,10,30,Acid,Base,Neutral substance,Salt,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,Which pH value would indicate the strongest base?,multiple_choice,d,A pH closer to 14 indicates stronger basicity (alkalinity).,easy,10,30,7,8,10,14,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,What type of ion is characteristic of a base when dissolved in water?,multiple_choice,d,Bases produce hydroxide ions ($OH^-$) in solution.,medium,10,45,$H^+$ ions,$Cl^-$ ions,$Na^+$ ions,$OH^-$ ions,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,A solution with a pH of 5 is considered:,multiple_choice,a,A pH less than 7 is acidic.,easy,10,30,Acidic,Neutral,Basic,Alkaline,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,What is the main property that distinguishes an acid from a base?,multiple_choice,b,"Acids release H+ ions, while bases release OH- ions in water.",medium,10,45,Their color,The type of ions they produce in water,Their physical state,Their boiling point,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,"If you mix an acidic solution with a basic solution of equal strength, the resulting solution will be:",multiple_choice,c,Neutralization results in a neutral solution.,easy,10,30,Acidic,Basic,Neutral,Salty,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,Which pH value represents a weak acid?,multiple_choice,b,"A pH of 6 is slightly acidic, indicating a weak acid.",easy,10,30,1,6,7,13,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,Litmus paper turns blue in the presence of a(n):,multiple_choice,a,Blue litmus indicates a base.,easy,10,30,Base,Acid,Neutral substance,Salt,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,Which of the following is an example of an everyday acid?,multiple_choice,d,Citric acid is found in lemons.,easy,10,30,Soap,Bleach,Baking soda,Lemon juice,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,Why is pure water considered neutral?,multiple_choice,b,"Pure water has an equal concentration of H+ and OH- ions, resulting in a pH of 7.",medium,10,45,It has no taste,It is clear,It contains equal amounts of $H^+$ and $OH^-$ ions,It does not react with anything,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,"Which substance is formed when an acid and a base react, besides water?",multiple_choice,a,A salt is the other product of a neutralization reaction.,easy,10,30,Salt,Carbon dioxide,Oxygen,Hydrogen,,,,,,,,,,,,,,,,,,
Science,Basic 7,Acids and Bases,What type of solution would turn red litmus paper blue?,multiple_choice,b,Red litmus turns blue in the presence of a base.,easy,10,30,Acidic,Basic,Neutral,Salty,,,,,,,,,,,,,,,,,,
Science,Grade 7,Acids and Bases,What is a chemical change?,multiple_choice,a,A chemical change produces new substances with different properties from the original materials.,medium,10,90,A change that produces new substances,A change in size only,A change in shape only,A change in temperature only,,,,,,,,,,,,,,,,,,
Science,Grade 7,Acids and Bases,Which is an example of a chemical change?,multiple_choice,c,Burning wood is a chemical change because it produces new substances (ash smoke gases) with different properties.,medium,10,75,Melting ice,Cutting paper,Burning wood,Dissolving sugar,,,,,,,,,,,,,,,,,,
Science,Grade 7,Acids and Bases,What are the signs of a chemical change?,multiple_choice,d,Signs include color change gas production heat or light production and formation of precipitate.,hard,10,120,Only color change,Only gas production,Only temperature change,Color change gas production heat/light precipitate formation,,,,,,,,,,,,,,,,,,
Science,Grade 7,Acids and Bases,What is combustion?,multiple_choice,b,Combustion is a chemical reaction where a substance combines with oxygen producing heat and light.,medium,10,90,Melting of solids,A reaction with oxygen producing heat and light,Mixing two liquids,Freezing of liquids,,,,,,,,,,,,,,,,,,
Science,Grade 7,Acids and Bases,What is needed for fire to occur?,multiple_choice,a,Fire requires three things: fuel oxygen and heat (ignition temperature) - known as the fire triangle.,medium,10,90,Fuel oxygen and heat,Only fuel,Only oxygen,Only heat,,,,,,,,,,,,,,,,,,
Science,Grade 7,The Environment,What is an ecosystem?,multiple_choice,a,An ecosystem includes all living things and their physical environment in a particular area.,medium,10,75,All living and non-living things in an area,Only plants in an area,Only animals in an area,Only the weather in an area,,,,,,,,,,,,,,,,,,
Science,Grade 7,The Environment,What is a food chain?,multiple_choice,b,A food chain shows the flow of energy from one organism to another through feeding relationships.,medium,10,75,Animals living together,The path of energy through feeding relationships,Plants growing in soil,Water flowing in rivers,,,,,,,,,,,,,,,,,,
Science,Grade 7,The Environment,What are producers in an ecosystem?,multiple_choice,c,Producers are organisms like plants that make their own food through photosynthesis.,medium,10,60,Animals that hunt,Animals that eat plants,Organisms that make their own food,Organisms that break down waste,,,,,,,,,,,,,,,,,,
Science,Grade 7,The Environment,What role do decomposers play?,multiple_choice,d,Decomposers break down dead organisms and waste returning nutrients to the ecosystem.,medium,10,90,They eat other animals,They make food from sunlight,They pollinate flowers,They break down dead organisms and return nutrients,,,,,,,,,,,,,,,,,,
Science,Grade 7,The Environment,What is pollution?,multiple_choice,a,Pollution is the introduction of harmful substances into the environment.,easy,10,60,Harmful substances in the environment,Clean air and water,Plants growing everywhere,Animals moving to new places,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,Grade 7,Energy and Its Forms,What is energy?,multiple_choice,b,Energy is the ability to do work or cause changes in matter.,medium,10,60,A type of matter,The ability to do work,A kind of force,A form of heat,,,,,,,,,,,,,,,,,,
Science,Grade 7,Energy and Its Forms,Which of these is a form of kinetic energy?,multiple_choice,a,Moving objects have kinetic energy which is the energy of motion.,medium,10,60,A moving car,A book on a shelf,A stretched rubber band,A battery,,,,,,,,,,,,,,,,,,
Science,Grade 7,Energy and Its Forms,What type of energy does food contain?,multiple_choice,c,Food contains chemical energy stored in the bonds between atoms and molecules.,medium,10,75,Kinetic energy,Heat energy,Chemical energy,Light energy,,,,,,,,,,,,,,,,,,
Science,Grade 7,Energy and Its Forms,What happens to energy when it changes from one form to another?,multiple_choice,d,According to the law of conservation of energy the total amount of energy remains constant.,hard,10,90,It disappears,It increases,It decreases,It stays the same,,,,,,,,,,,,,,,,,,
Science,Grade 7,Energy and Its Forms,Which energy transformation occurs in a flashlight?,multiple_choice,b,A flashlight converts chemical energy from batteries into electrical energy then into light energy.,medium,10,90,Heat to light,Chemical to electrical to light,Sound to light,Kinetic to light,,,,,,,,,,,,,,,,,,
Science,Grade 7,Energy and Its Forms,What is the difference between Energy and Its Forms?,multiple_choice,c,Temperature measures how hot or cold something is while heat is the energy that flows between objects.,medium,10,90,They are the same,Heat is colder than temperature,Temperature measures hotness; heat is energy flow,Heat measures hotness; temperature is energy,,,,,,,,,,,,,,,,,,
Science,Grade 7,Energy and Its Forms,How does heat travel through a metal spoon?,multiple_choice,a,Heat travels through solids like metal by conduction where energy passes from particle to particle.,medium,10,75,Conduction,Convection,Radiation,Evaporation,,,,,,,,,,,,,,,,,,
Science,Grade 7,Energy and Its Forms,What happens to most materials when they are heated?,multiple_choice,b,Most materials expand when heated because particles move faster and take up more space.,medium,10,60,They contract,They expand,They change color,They become lighter,,,,,,,,,,,,,,,,,,
Science,Grade 7,Energy and Its Forms,Which material is a good conductor of heat?,multiple_choice,c,Metals like copper are good conductors because they allow heat to pass through them easily.,easy,10,45,Wood,Plastic,Metal,Air,,,,,,,,,,,,,,,,,,
Science,Grade 7,Energy and Its Forms,What is the freezing point of water?,multiple_choice,a,Water freezes at 0°C (32°F) under normal atmospheric pressure.,easy,10,30,0°C,10°C,32°C,100°C,,,,,,,,,,,,,,,,,,
Science,Grade 7,Energy and Its Forms,How does light travel?,multiple_choice,b,Light travels in straight lines at a very high speed through space and transparent materials.,medium,10,60,In curves,In straight lines,In circles,In zigzags,,,,,,,,,,,,,,,,,,
Science,Grade 7,Energy and Its Forms,What happens when light hits a mirror?,multiple_choice,c,When light hits a smooth surface like a mirror it reflects following the law of reflection.,easy,10,45,It disappears,It bends,It reflects,It stops,,,,,,,,,,,,,,,,,,
Science,Grade 7,Energy and Its Forms,How is sound produced?,multiple_choice,a,Sound is produced when objects vibrate causing air particles to vibrate and create sound waves.,medium,10,75,By vibrations,By light,By heat,By electricity,,,,,,,,,,,,,,,,,,
Science,Grade 7,Energy and Its Forms,Why can we see objects?,multiple_choice,b,We see objects because light reflects off them and enters our eyes.,medium,10,60,They produce their own light,Light reflects off them into our eyes,They absorb all light,They are transparent,,,,,,,,,,,,,,,,,,
Science,Grade 7,Energy and Its Forms,Which travels faster: light or sound?,multiple_choice,a,Light travels much faster than sound which is why we see lightning before hearing thunder.,medium,10,60,Light,Sound,They travel at the same speed,It depends on the distance,,,,,,,,,,,,,,,,,,
Science,Grade 7,Energy and Its Forms,Fill in the blank: Energy stored in food and batteries is called _____ energy.,fill_blank,chemical,Chemical energy is stored in the bonds between atoms and molecules.,medium,10,60,,,,,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,Which of the following is a form of potential energy?,multiple_choice,b,Chemical energy stored in fuel is a type of potential energy.,easy,5,30,Sound,Heat,Chemical,Light,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,What type of energy does a moving car possess?,multiple_choice,a,Kinetic energy is the energy of motion.,easy,5,30,Kinetic energy,Potential energy,Chemical energy,Nuclear energy,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,The Law of Conservation of Energy states that energy can neither be created nor destroyed, but can only be?,multiple_choice,c,Energy transforms from one form to another.,easy,5,45,Used up,Lost,Transformed,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,What is the main energy conversion that occurs when a light bulb is switched on?,multiple_choice,b,Electrical energy is converted to light and heat energy.,medium,10,60,Chemical to light,Electrical to light and heat,Mechanical to light,Sound to light,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,Which of these is a renewable source of energy?,multiple_choice,d,Solar energy is replenished naturally.,easy,5,30,Coal,Natural gas,Petroleum,Solar,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,What kind of energy is stored in a stretched rubber band?,multiple_choice,a,Elastic potential energy is stored in a stretched or compressed object.,easy,5,45,Elastic potential energy,Gravitational potential energy,Chemical energy,Kinetic energy,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,When a ball is thrown upwards, its kinetic energy is converted into which form of energy as it rises?,multiple_choice,b,As it rises, it gains height, converting kinetic energy to gravitational potential energy.,medium,10,60,Heat energy,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,Which device converts chemical energy into electrical energy?,multiple_choice,c,A battery uses chemical reactions to produce electricity.,easy,5,45,Motor,Generator,Battery,Solar panel,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,What is the SI unit of energy?,multiple_choice,d,The SI unit for all forms of energy is the Joule (J).,easy,5,30,Watt,Newton,Volt,Joule,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,Energy from the movement of water is called?,multiple_choice,a,Hydropower uses the kinetic energy of flowing water.,easy,5,30,Hydropower,Wind energy,Geothermal energy,Solar energy,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,Which energy transformation occurs in a power plant that burns coal?,multiple_choice,b,Chemical energy (coal) → Heat energy → Mechanical energy (steam turbine) → Electrical energy (generator).,hard,15,90,Kinetic to electrical,Chemical to heat to mechanical to electrical,Solar to electrical,Nuclear to heat to electrical,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,What type of energy is associated with the position of an object in a gravitational field?,multiple_choice,c,Gravitational potential energy depends on height and mass.,medium,10,45,Kinetic energy,Elastic potential energy,Gravitational potential energy,Thermal energy,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,What is the primary energy source for photosynthesis in plants?,multiple_choice,d,Plants use light energy from the sun for photosynthesis.,easy,5,30,Chemical energy,Heat energy,Sound energy,Light energy,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,Which of these is a non-renewable energy source?,multiple_choice,b,Oil is a fossil fuel that takes millions of years to form and is depleting.,easy,5,30,Wind,Oil,Hydro,Biomass,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,A swinging pendulum converts kinetic energy to what other form of energy and vice-versa?,multiple_choice,d,At the bottom, it's kinetic. As it swings up, it gains gravitational potential energy, and converts back on the way down.,hard,15,75,Chemical energy,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,What is the energy of vibrating particles within a substance?,multiple_choice,a,Thermal energy is the internal energy of a system due to the microscopic motion of its particles.,medium,10,45,Thermal energy,Sound energy,Light energy,Electrical energy,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,Which energy transformation takes place in a wind turbine?,multiple_choice,b,Kinetic energy of wind is converted into electrical energy.,medium,10,60,Chemical to electrical,Kinetic to electrical,Solar to electrical,Heat to electrical,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,What is stored energy due to an object's state or position?,multiple_choice,a,Potential energy is stored energy.,easy,5,30,Potential energy,Kinetic energy,Mechanical energy,Electrical energy,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,Which form of energy is produced when fuel burns?,multiple_choice,c,Burning fuel releases chemical energy as heat and light.,easy,5,30,Electrical,Sound,Heat,Mechanical,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,A car engine converts chemical energy from fuel into which main forms of energy?,multiple_choice,d,Chemical energy is converted mainly to mechanical energy (for motion) and heat energy (waste).,hard,15,90,Energy and Its Forms,Electrical and potential,Only kinetic,Kinetic/mechanical and heat,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,What is the energy released from the nucleus of an atom called?,multiple_choice,b,Nuclear energy is released from atomic nuclei.,easy,5,30,Chemical energy,Nuclear energy,Thermal energy,Electrical energy,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,In a flashlight, what energy transformation occurs?,multiple_choice,a,Chemical energy in the battery is converted to electrical energy, then to light and heat by the bulb.,medium,10,60,Chemical to electrical to light,Electrical to sound to light,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,What type of energy is carried by electromagnetic waves?,multiple_choice,b,Light is a form of electromagnetic energy.,easy,5,30,Sound energy,Light energy,Mechanical energy,Chemical energy,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,What type of energy does a coiled spring possess?,multiple_choice,d,A coiled spring has elastic potential energy.,easy,5,30,Kinetic,Gravitational,Chemical,Elastic potential,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,What is the SI unit of temperature?,multiple_choice,b,The SI unit of temperature is Kelvin (K), though Celsius (°C) is commonly used.,easy,5,30,Celsius,Kelvin,Fahrenheit,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,Which method of heat transfer involves the movement of fluids (liquids or gases)?,multiple_choice,c,Convection is heat transfer by the movement of heated fluid particles.,medium,10,45,Conduction,Radiation,Convection,Insulation,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,What happens to the particles of a substance when it is heated?,multiple_choice,a,Heating increases the kinetic energy of particles, making them move faster and spread out.,medium,10,60,They gain kinetic energy and move faster,They lose kinetic energy and move slower,They decrease in size,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,Which state of matter has particles that are tightly packed and vibrate in fixed positions?,multiple_choice,b,Solids have a definite shape and volume because their particles are tightly packed and vibrate in fixed positions.,easy,5,30,Liquid,Solid,Gas,Plasma,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,Which of the following is a good conductor of heat?,multiple_choice,d,Metals are generally good conductors of heat.,easy,5,30,Wood,Plastic,Air,Copper,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,What is the process by which heat is transferred through direct contact between particles?,multiple_choice,a,Conduction occurs through direct molecular collision.,easy,5,30,Conduction,Convection,Radiation,Evaporation,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,What is the freezing point of water in degrees Celsius?,multiple_choice,b,Water freezes at 0°C.,easy,5,30,100°C,0°C,-10°C,32°C,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,Which type of heat transfer does not require a medium?,multiple_choice,c,Radiation can travel through a vacuum (e.g., heat from the sun).,medium,10,45,Conduction,Convection,Radiation,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,What causes a liquid to turn into a gas at its boiling point?,multiple_choice,a,Boiling involves a rapid phase change from liquid to gas as particles gain enough energy to escape as vapor.,medium,10,60,Evaporation,Condensation,Melting,Freezing,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,What is the boiling point of water in degrees Celsius?,multiple_choice,d,Water boils at 100°C at standard atmospheric pressure.,easy,5,30,0°C,50°C,90°C,100°C,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,Which of these is a measure of the average kinetic energy of the particles in a substance?,multiple_choice,b,Temperature is a measure of the average kinetic energy of particles.,medium,10,45,Heat,Temperature,Thermal energy,Specific heat capacity,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,Why does a metal spoon feel colder than a wooden spoon at the same temperature?,multiple_choice,a,Metal is a better conductor of heat, so it draws heat away from your hand faster.,hard,15,75,Metal is a better conductor of heat,Wood is a better conductor of heat,Metal has a lower specific heat capacity,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,What happens to the volume of most substances when they are heated?,multiple_choice,d,Most substances expand when heated, increasing their volume.,medium,10,45,It decreases,It stays the same,It varies unpredictably,,,,,,,,,,,,,,,,,,
Science,Basic 7,Energy and Its Forms,Which color absorbs more heat energy?,multiple_choice,a,Darker colors absorb more radiant heat.,easy,5,30,Black,White,Red,Blue,,,,,,,,,,,,,,,,,,
